OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Planning ref,Current Status
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0001,N/A,The Hop Pocket 59 Maidstone Road Paddock Wood Tonbridge Kent,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab5,OSGB36,567017,145472,0.20,not owned by a public authority,Yes,permissioned,full planning permission,03/01/2017,08/03962/FULMJ (approved),N/A,10,"Construction of part two, three and four-storey building incorporating 10 affordable housing units (6 No. one-bed flats and 4 No. two-bedroom flats) including new access, 10 car parking spaces, 10 cycle spaces, refuse storage and associated landscaping",N/A,N/A,10,10,N/A,LBD/TPO/Potential Contamination/Flood risk,N/A,2017-11-23,2017-11-23,16/505613/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0002,N/A,Bradleys (Speldhurst) Ltd Speldhurst Hill Speldhurst Royal Tunbridge Wells Kent TN3 0NG ,https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab6,OSGB36,555792,141679,2.00,not owned by a public authority,Yes,permissioned,full planning permission,15/12/2015,14/501170/LBC (approved),N/A,5,"Demolition of existing commercial buildings and introduction of 4 new dwellings comprising two detached houses of traditional design and a pair of semi-detached 'workers cottages', the conversion of the existing Listed Mill building to provide a 4 bedroom dwelling, and the provision of garaging/parking and associated landscaping.",N/A,N/A,5,5,N/A,Green Belt/ AONB/ Listed Building/Flood Risk/ Contamination/Ecoloigical survey/PROW,N/A,2017-11-23,2017-11-23,14/501167/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0003,N/A,"Bassetts FarmGoudhurst RoadHorsmondenTonbridgeKentTN12 8AS",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab7,OSGB36,570626,140390,0.97,not owned by a public authority,Yes,permissioned,outline planning permission,06/06/2016,04/02109/OUTMJ (refused) 04/02112/FULMJ (refused),N/A,30,Outline application for the demolition of existing buildings (with the exception of the building at the corner of access road) and for the erection of up to 30 dwellings (Point of Access to site not reserved).,N/A,N/A,30,30,N/A,PDL/outside but adjacent to LBD/PROW/Flood Zone 1/potential contamination/Section 106 agreement,N/A,2017-11-23,2017-11-23,15/505340/OUT,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0004,N/A,"Union HouseEridge RoadRoyal Tunbridge WellsKentTN4 8HF",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab8,OSGB36,557986,138608,0.7,not owned by a public authority,Yes,permissioned,full planning permission,28/06/2017,15/500806/PNJCLA (approved),N/A,127,"Demolition of existing building and redevelopment of the site to provide 127 new residential apartments, alongside circa 850 sq.m of Class A1 / A3 / A4 (Retail, Restaurants and Cafes, Drinking Establishments), Class D1 / D2 (Community) and Class B1 Office floorspace, with associated new public square, water feature, public car parking and residents car/cycle parking.","A1, A2, A3, D1/D2, B1",N/A,127,127,N/A,LBD/Primary Shopping Area/Central Access Zone/ Central parking Zone/SALP 2016 site allocation(Policy AL/RTW/4A)/Conservation Area/Section 106 agreement/Heritage assets (Pantiles)/Flood risk/Air Quality Management Area/TPOs/Ashdown Forest HRA 7km Zone/Ashdown Forest 15 Km Habitat Regulation Assessment Zone ,N/A,2017-11-23,2017-11-23,16/504331/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0005,N/A,"Heathervale House2 - 4 Vale AvenueRoyal Tunbridge WellsKentTN11DJ ",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab9,OSGB36,558318,139231,0.11,not owned by a public authority,Yes,permissioned,other,13/01/2014,"11/02358/FUL (approved), 14/01247/FULL (approved) ",N/A,19,"Change of use from Class B1(a) offices to C3 residential, comprising the provision of 19 apartments and 37 parking spaces, to be implemented by the 30th May 2016",N/A,N/A,19,19,N/A,LBD/Conservation Area/TPO,N/A,2017-11-23,2017-11-23,13/03493/PNRES,Expired
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0006,N/A,"Heathervale House2 - 4 Vale AvenueRoyal Tunbridge WellsKentTN1 1DJ",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab10,OSGB36,558318,139231,0.11,not owned by a public authority,Yes,permissioned,full planning permission,09/12/2014,11/02358/FUL (approved) 13/03493/PNRES (prior approval not required),N/A,9,"Construction of roof extension to provide 9 no. apartments, with new entrance extension to front elevation",N/A,N/A,9,9,N/A,Relates to proposed extension only/LBD/Conservation Area/TPO/Section 106 agreement,N/A,2017-11-23,2017-11-23,14/01247/FULL,Expired
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0007,N/A,"85 London RoadSouthboroughRoyal Tunbridge WellsKentTN4 0NJ",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab11,OSGB36,558151,142220,0.065,mixed ownership,Yes,permissioned,full planning permission,17/04/2017,14/01413/FULL (withdrawn),N/A,5,Proposed extension and part conversion to 85 London Road to form 5 No. residential apartments together with commercial floor space.,Commercial use on ground floor,N/A,5,5,N/A,LBD/Air Quality Management Area,N/A,2017-11-23,2017-11-23,14/503340/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0008,N/A,"Garlinge Lodge6 Garlinge RoadSouthboroughRoyal Tunbridge WellsKentTN4 0NR",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab12,OSGB36,558118,142443,0.062,not owned by a public authority,Yes,permissioned,full planning permission,17/10/2016,None recent,N/A,6,Conversion of existing carehome into 6 No. self-contained flats,N/A,N/A,6,6,N/A,LBD/Air Quality Management Area,N/A,2017-11-23,2017-11-23,16/06018/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0009,N/A,"13 Church RoadPaddock WoodTonbridgeKentTN12 6EX",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab13,OSGB36,567422,145024,0.14,not owned by a public authority,Yes,permissioned,full planning permission,09/02/2017,15/504455/FULL (Refused),N/A,9,"Demolition of existing dwelling;  Erection of 4 No. 1-bedroom flats, 4 No. 2-bedroom duplex apartments, 1 No. 3-bed detached dwelling, together with creation of new access and parking spaces",N/A,N/A,9,9,N/A,LBD/Flood risk/potentialcontamination,N/A,2017-11-23,2017-11-23,16/06057/FULL,Extant
http://opendatacommunities.org/id/district-council/tunbridge-wells,Tunbridge Wells Borough Council,BFR_0010,N/A,"Calverley House55 Calverley RoadRoyal Tunbridge WellsKentTN1 2TU",https://tunbridgewells.maps.arcgis.com/apps/webappviewer/index.html?id=2ae20aa8a81646dcb9cc5280f9d6aab14,OSGB36,558694,139615,0.22,not owned by a public authority,Yes,permissioned,other,07/10/2016,13/02000/PNRES (prior approval not required),N/A,112,Notification for prior approvalfor proposed change of use of building from office use (Class B1(a)) to 112 residnetila units (Class c3) - four upper floors only,Retail use on ground floor,N/A,112,112,N/A,LBD/Primary Shopping Area/Central Access Zone/ Central parking Zone/Conservation Area,N/A,2017-11-23,2017-11-23,16/06195/PNOCLA,Extant
