OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0019/17,,"117 Park Road
Peterborough
PE1 2TR
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O859STML0CW00,OSGB36,519332,299408,1.1,Unknown,Yes,Permissioned,Prior Approval,05/07/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O859STML0CW00,,24,,,,24,24,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0020/17,,"143 Oundle Road
Woodston
Peterborough
PE2 9PW
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CMQXML0CW00,OSGB36,518529,297823,1.3,Unknown,Yes,Permissioned,Full,12/01/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CMQXML0CW00,,10,,,,10,10,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0021/17,,"28 - 30 Priestgate
Peterborough
PE1 1JA
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CMX5ML0CW00,OSGB36,519050,298535,1.2,Unknown,Yes,Permissioned,Full,09/07/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CMX5ML0CW00,,8,,,,8,8,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0022/17,,"48-50 Jubilee Street
Woodston
Peterborough
PE2 9PH
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CMKRML0CW00,OSGB36,518694,298035,1.5,Unknown,Yes,Permissioned,Full,03/06/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CMKRML0CW00,,8,,,,8,8,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0023/17,,"88 Lincoln Road
Peterborough
PE1 2SN
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CLBPML0CW00,OSGB36,519073,299437,2.2,Unknown,Yes,Permissioned,Full,15/10/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CLBPML0CW00,,26,,,,26,26,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0024/17,,"Car Park
Bishops Road
Eastgate
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5H4WAML0CW00,OSGB36,519580,298418,13.1,Unknown,Yes,Not permissioned,,,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5H4WAML0CW00,,25,,,,25,25,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0025/17,,"Bushfield House
Bushfield
Orton Goldhay
Peterborough
PE2 5RQ
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O85CV6ML0CW00,OSGB36,515191,295422,5,Unknown,Yes,Permissioned,Prior Approval,31/01/2014,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O85CV6ML0CW00,,24,,,,24,24,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0026/17,,"Cranmore House
Thorney Road
Eye
Peterborough
PE6 7UB
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O876QLML0CW00,OSGB36,523323,303031,9.5,Unknown,Yes,Permissioned,Outline,02/04/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O876QLML0CW00,,14,,,,14,14,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0027/17,,"Depot
Church Road
Wittering
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CM8BML0CW00,OSGB36,505346,302334,1.8,Unknown,Yes,Permissioned,Full,01/10/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CM8BML0CW00,,6,,,,6,6,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0028/17,,"Dickens Street Car Park
Dickens Street
Eastfield
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5TW9KML0CW00,OSGB36,519769,299190,6.4,Unknown,Yes,Not permissioned,,,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5TW9KML0CW00,,30,,,,30,30,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0029/17,,"Fletton Quays
Land At East Station Road
Peterborough


",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O875DVML0CW00,OSGB36,519498,298029,22.4,Unknown,Yes,Permissioned,Reserved Matters,27/10/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O875DVML0CW00,,280,,,,280,280,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0030/17,,"Former Coal Yard
River Lane
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O85E1CML0CW00,OSGB36,518774,298401,1.4,Unknown,Yes,Permissioned,Outline,06/03/2014,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O85E1CML0CW00,,7,,,,7,7,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0031/17,,"Former Peterborough District Hospital
Thorpe Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O86YY7ML0CW00,OSGB36,518378,298749,93,Unknown,Yes,Permissioned,Outline,31/10/2014,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O86YY7ML0CW00,,287,,,,287,287,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0032/17,,"Former Peterborough District Hospital
Thorpe Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0SR9ZML0CW00,OSGB36,518378,298749,2.5,Unknown,Yes,Permissioned,Outline,04/12/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0SR9ZML0CW00,,7,,,,7,7,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0033/17,,"Former Peterborough District Hospital
Thorpe Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0SRGOML0CW00,OSGB36,518378,298749,9.5,Unknown,Yes,Permissioned,Reserved Matters,22/07/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0SRGOML0CW00,,43,,,,43,43,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0034/17,,"Former Peterborough District Hospital
Thorpe Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0SRRMML0CW00,OSGB36,518378,298749,17,Unknown,Yes,Permissioned,Outline,10/03/2017,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0SRRMML0CW00,,76,,,,76,76,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0035/17,,"Former Peterborough District Hospital
Thorpe Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0SS0MML0CW00,OSGB36,518378,298749,25,Unknown,Yes,Permissioned,Reserved Matters,26/02/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0SS0MML0CW00,,56,,,,56,56,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0036/17,,"Mega Car Centre
Midland Road
West Town
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O85FHTML0CW00,OSGB36,518502,298829,6.7,Unknown,Yes,Permissioned,Full,07/08/2014,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O85FHTML0CW00,,29,,,,29,29,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0037/17,,"Great Northern Railway Hotel
Station Road
Peterborough
PE1 1QL
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8790WML0CW00,OSGB36,518749,298869,7.5,Unknown,Yes,Permissioned,Outline,13/03/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8790WML0CW00,,6,,,,6,6,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0038/17,,"Guthrie House
Rightwell East
Bretton
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0SSU7ML0CW00,OSGB36,516392,300319,1.5,Unknown,Yes,Permissioned,Full,01/04/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0SSU7ML0CW00,,13,,,,13,13,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0039/17,,"Guthrie House
Rightwell East
Bretton
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0SSYHML0CW00,OSGB36,516392,300319,1,Unknown,Yes,Permissioned,Prior Approval,21/11/2013,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0SSYHML0CW00,,5,,,,5,5,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0040/17,,"Hampton Leys
London Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0STEFML0CW00,OSGB36,518792,294754,276.4,Unknown,Yes,Permissioned,Reserved Matters,16/09/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0STEFML0CW00,,866,,,,866,866,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0041/17,,"Land To The South Of Tranche VG9
County Road
Hampton Vale
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O873YNML0CW00,OSGB36,516867,293585,166,Unknown,Yes,Permissioned,Outline,19/06/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O873YNML0CW00,,350,,,,350,350,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0042/17,,"Hempsted Parcel - NC1, NC3, NC4
Hicks Lane
Woodston
Peterborough
PE7 0LL",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5TZYUML0CW00,OSGB36,519016,296243,18.6,Unknown,Yes,Not permissioned,,,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5TZYUML0CW00,,65,,,,65,65,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0043/17,,"Hampton Vale Allotments
Coriander Drive
Hampton Vale
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0SUS0ML0CW00,OSGB36,516377,293732,37.8,Unknown,Yes,Permissioned,Full,10/04/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0SUS0ML0CW00,,125,,,,125,125,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0044/17,,"Land At
Guilsborough Road
Eye Green
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8753ZML0CW00,OSGB36,523114,303239,33.6,Unknown,Yes,Permissioned,Outline,16/10/2014,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8753ZML0CW00,,55,,,,55,55,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0045/17,,"Hempsted Opportunity Area
London Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5TZPZML0CW00,OSGB36,518905,296392,2.5,Unknown,Yes,Permissioned,Outline,25/11/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5TZPZML0CW00,,15,,,,15,15,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0046/17,,"Land To The North Of
Brickburn Close
Hampton Centre
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0UKDDML0CW00,OSGB36,518243,294705,13.4,Unknown,Yes,Permissioned,Full,27/10/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0UKDDML0CW00,,45,,,,45,45,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0047/17,,"Hempsted Opportunity Area
London Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0UKK1ML0CW00,OSGB36,518905,296392,34.6,Unknown,Yes,Permissioned,Full,16/03/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0UKK1ML0CW00,,95,,,,95,95,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0048/17,,"1374 Lincoln Road
Peterborough
PE4 6LS
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0ULTYML0CW00,OSGB36,516384,303384,3.4,Unknown,Yes,Permissioned,Full,01/11/2007,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0ULTYML0CW00,,5,,,,5,5,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0049/17,,"Land To The West Of
London Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0UM0WML0CW00,OSGB36,517869,293987,25.1,Unknown,Yes,Permissioned,Reserved Matters,05/06/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0UM0WML0CW00,,130,,,,130,130,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0050/17,,"Lincoln Court
Lincoln Road
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0UMIGML0CW00,OSGB36,519070,299087,0.4,Unknown,Yes,Permissioned,Prior Approval,12/09/2016,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0UMIGML0CW00,,8,,,,8,8,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0051/17,,"Manor House
57 Lincoln Road
Peterborough
PE1 2RR
",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0UMPHML0CW00,OSGB36,519150,299180,2.8,Unknown,Yes,Permissioned,Prior Approval,14/03/2017,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0UMPHML0CW00,,11,,,,11,11,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0052/17,,"Mill Garage
The Causeway
Thorney
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=P0UN9EML0CW00,OSGB36,527858,304310,2,Unknown,Yes,Permissioned,Full,25/09/2003,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P0UN9EML0CW00,,7,,,,7,7,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0053/17,,"NCP Car Park
Brook Street
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CLXKML0CW00,OSGB36,519533,299024,1.9,Unknown,Yes,Permissioned,Full,03/11/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CLXKML0CW00,,39,,,,39,39,,,,19/12/2017,19/12/2017
http://opendatacommunities.org/id/unitary-authority/peterborough,Peterborough,PDL/0054/17,,"New Priestgate House
57 Priestgate
Peterborough

",https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O8CLMBML0CW00,OSGB36,518910,298594,2.1,Unknown,Yes,Permissioned,Full,26/08/2015,https://planpa.peterborough.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O8CLMBML0CW00,,7,,,,7,7,,,,19/12/2017,19/12/2017
