OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,Ownership 2,Potential Housing Capacity (Min) (Gross),Potential Housing Capcity (Max) (Gross),To be included on Brownfield Register
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1032,,"""Busway and Former Petrol Station, Bridge Street, Runcorn""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1032,OSGB36,351675,382951,0.9,Mixed ownership,Yes,Not permissioned,,,,,24,"""Potential for housing and apartments.""",Not considered appropriate on this site,,24,32,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 40dph. Physical constraints identified include woodland and potentially contaminated land.,2017-12-31,2017-12-31,Public Private Mixed,24,32,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1077,,"""Highways Agency Depot, Chester Road, Preston Brook""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1077,OSGB36,356632,380495,0.88,Owned by a public authority,,Not permissioned,,,,,20,"""Potential for houses, along with potential for community uses and small scale retail to support the local centre""",Site may have potential for community uses and small scale retail to support the local centre. Small scale retail up to 280 sqm net. Combined retail and community use to a maximum of 25% of the site.,,20,30,,,"Site is currently in use. Minimum capacity to allow for other uses, whilst maximum capacity is based on a density multiplier at 35dph. The relocation of the existing depot would be a constraint to the development of the site.",2017-12-31,2017-12-31,Other Public,20,30,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1079,,"""Land to the south of Old Quay Street and Mason Street, Runcorn""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1079,OSGB36,352028,383151,1.46,Owned by a public authority,,Not permissioned,,,,,39,"""Potential for housing and apartments.""",Not considered appropriate on this site,,39,52,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 40dph. Potentially contaminated land within the site from former use as a brickworks and due to landfilling within part of the site.,2017-12-31,2017-12-31,Local Authority,39,52,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1085,,"""Paramount Foods, Halton Road, Runcorn""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1085,OSGB36,352473,382666,3.71,Not owned by a public authority,Yes,Permissioned,Outline Planning Permission,2016-07-28,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=15/00563/OUT,,53,"""Outline application for part of the site, with all matters reserved, for demolition of existing buildings and erection of up to 53 dwellings with associated access, landscaping and ancillary works at Former Warehouse Halton Court""",Site may have potential for community uses and small scale retail to support the local centre. Small scale retail up to 280 sqm net. Combined retail and community use to a maximum of 15% of the site.,,53,118,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=10/00397/OUT&resolution=1&initialDialog=layersDialog,Potential capacity based on a density multiplier with the minimum based on the planning permission for part of the site and the maximum at 40dph across the site. Physical constraints identified include potentially contaminated land.,2017-12-31,2017-12-31,Private,53,118,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1104,,"""Former Polar Ford and surrounds, Victoria Road, Runcorn""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1104,OSGB36,351779,382863,1.44,Not owned by a public authority,Yes,Not permissioned,,,,,20,"""Potential for housing and apartments.""",Not considered appropriate on this site,,20,20,,,Potential capacity reflects the available part of site. Physical constraints identified include potentially contaminated land.,2017-12-31,2017-12-31,Private,20,20,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1109,,"""East Lane House, East Lane, Runcorn""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1109,OSGB36,353805,381356,1.14,Not owned by a public authority,Yes,Permissioned,Other,2015-07-15,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=15/00034/P3JPA,,30,"""Potential for demolition and new houses or apartments or potential for conversion of existing building in line with planning permission. Prior Approval (15/00034/P3JPA) - Proposed change of use from former office building (use class B1) to 448 no. self contained apartments comprising 54 1 bedroom flats and 394 studio flats.""",Town centre uses may also be considered appropriate for this site. The scale of any development must be appropriate to support town centre.,,30,448,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=15/00034/P3JPA&resolution=1&initialDialog=layersDialog,Potential capacity based on a density multiplier with the minimum based on 30dph and the maximum capacity based on the extant Prior Approval for the site. The site is currently developed but derelict.,2017-12-31,2017-12-31,Private,30,448,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1118,,"""Brosley House, Widnes Road, Widnes""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1118,OSGB36,351455,385522,0.33,Not owned by a public authority,Yes,Not permissioned,,,,,9,"""Potential for houses and / or apartments""",Not considered appropriate on this site,,9,16,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 50dph. Site is developed. No other known constraints on the site.,2017-12-31,2017-12-31,Private,9,16,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1120,,"""The Foundry, Lugsdale Road, Widnes""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1120,OSGB36,351751,385432,0.39,Not owned by a public authority,,Not permissioned,,,,,10,"""Potential for houses""",Not considered appropriate on this site,,10,14,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 40dph. Potentially contaminated land within the site.,2017-12-31,2017-12-31,Private,10,14,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1155,,"""Former Polar Ford Second Hand Cars Site, Victoria Road, Runcorn""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1155,OSGB36,351842,382812,0.37,Not owned by a public authority,Yes,Not permissioned,,,,,11,"""Potential for houses on this site""",Not considered appropriate on this site,,11,18,,,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum at 50dph. Potentially contaminated land within the site.,2017-12-31,2017-12-31,Private,11,18,1
http://opendatacommunities.org/id/unitary-authority/halton,Halton Borough Council,H1159,,"""Former Express Dairies Site, Sewell Street, Runcorn""",http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Linked&overlayname=Brownfield%20Register&schemacolumn=Ref&resolution=1&UID=H1159,OSGB36,351972,382798,0.66,Not owned by a public authority,Yes,Not permissioned,,,http://webapp.halton.gov.uk/planningAPPS/showCaseData.asp?CaseNo=11/00018/FUL,,17,"""Potential for houses and / or apartments""",Not considered appropriate on this site,,17,81,,http://map.halton.gov.uk/WebMapLayers8External/map.aspx?MapName=Planning&overlayname=All&schemacolumn=REFVAL&UID=11/00018/FUL&resolution=1&initialDialog=layersDialog,Potential capacity based on a density multiplier with the minimum based on 30dph and maximum based on SHLAA capacity. Lapsed planning permission 11/00018/FUL granted 12/12/2012.,2017-12-31,2017-12-31,Private,17,81,1
