OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR1,,"Rolls Royce, Watnall Road, Hucknall",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,452071.21,347014.43,31.09,not owned by a public authority,,permissioned,outline planning permission,2014-11-14,,,517,Outline pp for residential development (V/2013/0123),"Primary School (1.1 Ha), shops (net tradable area 1218 sqm)",,,,,,Outline planning consent for 900 dwellings. Reserved Matters consent on part of the site.,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR2,,"Former Bamkins Factory, King Edward Street, Hucknall",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,453508.75,348925.37,0.25,not owned by a public authority,yes,pending decision,,,,,14,"Full app pending for 14 dwellings with associated car parking, access and gardens (V/2016/0198)",,,,,,,Future development will need to consider: A flood risk assessment reflecting greenfield runoff rates anticipated;  Desktop survey and potential further investigations if contamination is suspected. ,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR3,,"Factory site on Bolsover Street, Hucknall",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,453843.99,349102.87,0.22,not owned by a public authority,yes,not permissioned,,,,,16,Site can accommodate up to 16 dwellings. Conversion of red brick factory building (on Local Heritage List).,,,,,,,Future development will need to consider: A flood risk assessment reflecting greenfield runoff rates anticipated;  Desktop survey and potential further investigations if contamination is suspected;   A noise impact assessment (in relation to the neighbouring factory); suitable relocation of existing businesses on the site and that the building is a local heritage site  ,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR4,,"Land at Daniels Way, Hucknall",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,452512.33,347844.83,1.1,not owned by a public authority,yes,permissioned,outline planning permission,2015-07-17,,,50,Outline planning permission for 50 dwellings ,,,,,,,The site has planning permission subject to conditions,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR5,,"Former Reform Church, 9 Annesley Rd, Hucknall, NG15 7AD",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,453334.08,349465.93,0.03,not owned by a public authority,yes,permissioned,full planning permission,2017-10-11,,,5,Full Planning permission for the conversion of the former Reform Church into 5 apartments,,,,,,,The site has planning permission subject to conditions,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR6,,"Poundstretcher, 50 High Street, Hucknall, NG15 7AX",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,453564.89,349308.73,0.05,not owned by a public authority,yes,permissioned,full planning permission,2017-10-18,,,6,Full Planning permission for the conversion into 6 apartments,,,,,,,The site has planning permission subject to conditions,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR7,,"8a Annesley Road, Hucknall",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,453365.21,349486.76,0.03,not owned by a public authority,yes,permissioned,full planning permission,2016-05-19,,,9,Full Planning permission for the conversion into 9 apartments,,,,,,,The site has planning permission subject to conditions,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR8,,"Land at Priestsic Road/Northern View, Sutton in Ashfield",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,449569.09,359433.19,0.53,not owned by a public authority,yes,not permissioned,,,,,24,Potential for residential development 24 dwellings,,,,,,,Potential allocated site in the emerging Local Plan SKA3f.  Requirement in relation to the Brownfield site will include Mitigation measures required in relation to any surface water issues;  Desktop survey and potential further investigations if contamination is suspected.   ,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR9,,"Davies Avenue, Sutton in Ashfield",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,449255.38,359614.11,0.6,owned by a public authority,yes,not permissioned,,,,,19,Potential for residential development 19 dwellings.  Affordable housing to the southern part of the site.,,,,,,,Potential allocated site in the emerging Local Plan SKA3r.   Mitigation measures required in relation to any surface water issues.   Southern part of the site anticipated to be affordable housing. ,2017-07-28,2017-07-28
http://opendatacommunities.org/id/district-council/ashfield,Ashfield District Council,BFR10 ,,"Land at 57 Stoneyford Road, Sutton in Ashfield",https://www.ashfield.gov.uk/media/3807/bflr-site-plans.pdf,OSGB36,449544.55,359758.22,0.35,not owned by a public authority,yes,not permissioned,,,,,9,Brownfield element of a larger site identified as a proposed allocation in the emerging Local Plan.  Larger site has had previous planning permission v/2013/0647. ,,,,,,,Potential larger site available proposed allocation  in emerging Local Plan allocation SKA3z 50 dwellings.   Requirement in relation to the Brownfield site will include Mitigation measures required in relation to any surface water issues;  Desktop survey and potential further investigations if contamination if suspected.  ,2017-07-28,2017-07-28
