OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0001,,"""The Grain Silo, The Quay, Poole, BH15 1HA""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_182810,ETRS89,49.90022318,-1.990853512,0.3,Unknown ownership,Yes,Permissioned,Reserved matters approval,13/07/2006,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_182810,,64,Reserved Matters Application pursuant to Outline Permission 01/02801/023/P dated 10.5.01 to demolish existing building and erect 5 blocks of 64 flats with ground floor parking and 2 retail units all with access from the The Quay.,,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0002,,"""Broadstone Hotel, Station Approach, Poole, BH18 8AX"" ",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_199509,ETRS89,49.90022348,-1.994842093,0.22,Unknown ownership,Yes,Permissioned,Full planning permission,23/11/2007,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_199509,,31,"""Refurbishment & remodelling works to existing Public House. Demolition of south west wing and rear single storey structures, erection of 31 flats.""",,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0003,,"""46-48 Tower Road, Poole, BH13 6JA""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_211411,ETRS89,49.90018716,-1.90956562,0.35,Unknown ownership,Yes,Permissioned,Full planning permission,31/12/2009,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_211411,,14,Demolish existing houses and erect 14 flats with basement and surface parking.,,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0004,,"""5 Highmoor Road, Poole, BH14 8SZ""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_212119,ETRS89,49.90020991,-1.945085203,0.11,Unknown ownership,Yes,Permissioned,Full planning permission,24/08/2010,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_212119,,9,Demolish existing building and erect 1 block of 9 apartments with basement parking.,,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0005,,"""10 Crichel Mount Road, Poole, BH14 8LT""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_215436,ETRS89,49.9002086,-1.942468966,0.4,Unknown ownership,Yes,Permissioned,Full planning permission,22/07/2011,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_215436,,4,Demolition of existing buildings and erection of four dwelling houses with integral garages (as amended plans received 10th May 2011) (Revised Scheme),,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0006,,"""Former James Brothers Site, Blandford Road, Poole, BH15 4AW""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_216270,ETRS89,49.90022354,-1.995998676,0.44,Unknown ownership,Yes,Permissioned,Full planning permission,07/03/2012,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_216270,,60,"""Erection of two buildings to create a total of 60 apartments (revised scheme to planning permission 07/00913/020/F to increase the number of flats approved on the southern part of the Former James Brother site from 44 to 60, resulting in 113 flats on the James Bros Site overal.)."" ",,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0007,,"""Pilkingtons Tiles Ltd., Blandford Road, Poole, BH15 4AR""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_217365,ETRS89,49.9002235,-1.995167417,1.09,Unknown ownership,Yes,Permissioned,Outline planning permission,11/12/2012,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_217365,,103,"""Demolition of all existing buildings including no. 28 Blandford Road. Proposed mixed-use redevelopment comprising: 268 dwellings comprising 68no. 1-bedroom flats, 125no. 2-bedroom flats, 2no. 2-bedroom houses, 64no. 3-bedroom houses, 9no. 4-bedroom houses; 880 m2 GEA floorspace for Classes A1 and A3 uses; 11,556 m2 GEA floorspace Class B1 Business units; electricity substation; foul water pumping station; construction of new site entrance onto Blandford Road and associated access roads; 436 car parking spaces; cycle parking; public open space areas; and landscaping works. (Outline Application).""",,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0008,,"""6 Highmoor Road, Poole, BH14 8SZ""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_219501,ETRS89,49.9002235,-1.995181072,0.11,Unknown ownership,Yes,Permissioned,Full planning permission,15/08/2012,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_219501,,8,Demolish existing and erect a block of 8 flats with basement car parking.,,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0009,,"""Land r/o 394-408 Ashley Road, Poole, BH14 0AA""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_226619,ETRS89,49.90021039,-1.946080264,0.12,Unknown ownership,Yes,Permissioned,Reserved matters approval,15/04/2014,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_226619,,16,Reserved Matters Application for appearance and landscaping following approval of Outline Application 09/00698/P (APP/Q1255/A/10/2129885) granted on Appeal to demolish existing building and erect 16 studio flats.,,,,,,,,01/12/2017,01/12/2017
http://opendatacommunities.org/id/unitary-authority/poole,Borough of Poole,P/BLR/0010,,"""Voyager House, 253-257 High Street North, Poole, BH15 1DX""",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227237,ETRS89,49.90022315,-1.9905721,0.29,Unknown ownership,Yes,Permissioned,Full planning permission,02/10/2014,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227237,,9,Extension to provide 9 residential units with terraces.,,,,,,,,01/12/2017,01/12/2017
